project_id,mp_name,district,work_type,sanction_date,sanction_amount,expenditure_to_date,start_date,expected_end_date,actual_end_date,status
WS/MP826/2024-2025/135688-Street lights,Raju Bista,DARJEELING,Normal/Others,11-Feb-25,500000,406983,11-Feb-25,,19-Aug-26,Completed
"WS/MP826/2024-2025/135689-Construction of roads, link roads, pathways or any other road with or without drainage system",Raju Bista,DARJEELING,Normal/Others,12-Mar-25,1000000,858881,12-Mar-25,,19-Aug-26,Completed
WS/MP826/2024-2025/135690-Street lights,Raju Bista,DARJEELING,Normal/Others,23-Dec-24,500000,411946,23-Dec-24,,19-Aug-26,Completed
WS/MP826/2024-2025/135692-Street lights,Raju Bista,DARJEELING,Normal/Others,23-Dec-24,500000,411946,23-Dec-24,,19-Aug-26,Completed
WS/MP826/2024-2025/135693-Street lights,Raju Bista,DARJEELING,Normal/Others,23-Dec-24,500000,411946,23-Dec-24,,19-Aug-26,Completed
WS/MP826/2024-2025/135694-Construction of boundary walls of existing public and community buildings,Raju Bista,DARJEELING,Normal/Others,05-Mar-25,500000,,05-Mar-25,,,Sanction
WS/MP826/2025-2026/135695-Construction of public libraries and reading rooms,Raju Bista,DARJEELING,Repair and Renovation,23-Apr-25,500000,494999,23-Apr-25,,12-Sep-25,Completed
WS/MP826/2026-2027/135696-Street lights,Raju Bista,DARJEELING,Normal/Others,27-Jul-26,500000,,27-Jul-26,,,Sanction
WS/MP826/2025-2026/135697-Construction of boundary walls of existing public and community buildings,Raju Bista,DARJEELING,Normal/Others,23-Apr-25,500000,499999,23-Apr-25,,30-Oct-25,Completed
WS/MP826/2024-2025/135699-Street lights,Raju Bista,DARJEELING,Normal/Others,23-Dec-24,500000,411948,23-Dec-24,,19-Aug-26,Completed
WS/MP826/2024-2025/135700-Street lights,Raju Bista,DARJEELING,Normal/Others,23-Dec-24,500000,411946,23-Dec-24,,19-Aug-26,Completed
WS/MP826/2025-2026/135701-Construction of additional rooms and halls in the existing public and community building,Raju Bista,DARJEELING,Normal/Others,08-Apr-25,1000000,,08-Apr-25,,,Physical Inspection
WS/MP826/2024-2025/135702-Providing drains and gutters for public drainage,Raju Bista,DARJEELING,Normal/Others,11-Feb-25,942409,942409,11-Feb-25,,13-Mar-26,Completed
WS/MP826/2024-2025/135703-Construction of boundary walls of existing public and community buildings,Raju Bista,DARJEELING,Normal/Others,07-Mar-25,500000,,07-Mar-25,,,Work partially Completed
WS/MP747/2024-2025/135704-Construction of community centers and community halls,Manickam Tagore B,VIRUDHUNAGAR,Normal/Others,20-Nov-24,2495751,2495751,20-Nov-24,,08-Jul-25,Completed
WS/MP826/2024-2025/135706-Construction of footpaths and pedestrian ways,Raju Bista,DARJEELING,Normal/Others,07-Mar-25,500000,469178,07-Mar-25,,05-Aug-26,Completed
