project_id,mp_name,district,work_type,sanction_date,sanction_amount,expenditure_to_date,start_date,expected_end_date,actual_end_date,status
WS/MP812/2024-2025/135418-Lighting of public spaces,Vijay Kumar Dubey,KUSHI NAGAR,Normal/Others,19-Mar-25,236234,236234,19-Mar-25,,08-Jan-26,Completed
WS/MP812/2024-2025/135419-Lighting of public spaces,Vijay Kumar Dubey,KUSHI NAGAR,Normal/Others,19-Mar-25,236234,236234,19-Mar-25,,08-Jan-26,Completed
WS/MP812/2024-2025/135420-Lighting of public spaces,Vijay Kumar Dubey,KUSHI NAGAR,Normal/Others,19-Mar-25,236234,236234,19-Mar-25,,08-Jan-26,Completed
WS/MP812/2024-2025/135422-Lighting of public spaces,Vijay Kumar Dubey,KUSHI NAGAR,Normal/Others,19-Mar-25,236234,236234,19-Mar-25,,08-Jan-26,Completed
WS/MP812/2024-2025/135423-Lighting of public spaces,Vijay Kumar Dubey,KUSHI NAGAR,Normal/Others,19-Mar-25,236234,236234,19-Mar-25,,08-Jan-26,Completed
WS/MP812/2024-2025/135424-Lighting of public spaces,Vijay Kumar Dubey,KUSHI NAGAR,Normal/Others,19-Mar-25,236234,236234,19-Mar-25,,08-Jan-26,Completed
WS/MP812/2024-2025/135425-Lighting of public spaces,Vijay Kumar Dubey,KUSHI NAGAR,Normal/Others,19-Mar-25,236234,236234,19-Mar-25,,08-Jan-26,Completed
WS/MP812/2024-2025/135428-Lighting of public spaces,Vijay Kumar Dubey,KUSHI NAGAR,Normal/Others,19-Mar-25,236234,236234,19-Mar-25,,08-Jan-26,Completed
WS/MP812/2024-2025/135430-Lighting of public spaces,Vijay Kumar Dubey,KUSHI NAGAR,Normal/Others,19-Mar-25,236234,236234,19-Mar-25,,08-Jan-26,Completed
WS/MP812/2024-2025/135431-Lighting of public spaces,Vijay Kumar Dubey,KUSHI NAGAR,Normal/Others,19-Mar-25,236234,236234,19-Mar-25,,08-Jan-26,Completed
WS/MP812/2024-2025/135432-Lighting of public spaces,Vijay Kumar Dubey,KUSHI NAGAR,Normal/Others,19-Mar-25,236234,236234,19-Mar-25,,08-Jan-26,Completed
WS/MP812/2024-2025/135434-Lighting of public spaces,Vijay Kumar Dubey,KUSHI NAGAR,Normal/Others,19-Mar-25,236234,236234,19-Mar-25,,08-Jan-26,Completed
WS/MP812/2024-2025/135435-Lighting of public spaces,Vijay Kumar Dubey,KUSHI NAGAR,Normal/Others,19-Mar-25,236234,236234,19-Mar-25,,08-Jan-26,Completed
WS/MP812/2024-2025/135436-Lighting of public spaces,Vijay Kumar Dubey,KUSHI NAGAR,Normal/Others,19-Mar-25,236234,236234,19-Mar-25,,08-Jan-26,Completed
WS/MP812/2024-2025/135437-Lighting of public spaces,Vijay Kumar Dubey,KUSHI NAGAR,Normal/Others,19-Mar-25,236234,236234,19-Mar-25,,08-Jan-26,Completed
WS/MP812/2024-2025/135440-Lighting of public spaces,Vijay Kumar Dubey,KUSHI NAGAR,Normal/Others,19-Mar-25,236234,236234,19-Mar-25,,08-Jan-26,Completed
WS/MP812/2024-2025/135442-Lighting of public spaces,Vijay Kumar Dubey,KUSHI NAGAR,Normal/Others,18-Feb-25,236234,236234,18-Feb-25,,16-Jan-26,Completed
WS/MP812/2024-2025/135443-Lighting of public spaces,Vijay Kumar Dubey,KUSHI NAGAR,Normal/Others,18-Feb-25,236234,236234,18-Feb-25,,16-Jan-26,Completed
WS/MP812/2024-2025/135444-Lighting of public spaces,Vijay Kumar Dubey,KUSHI NAGAR,Normal/Others,18-Feb-25,236234,236234,18-Feb-25,,16-Jan-26,Completed
WS/MP812/2024-2025/135445-Lighting of public spaces,Vijay Kumar Dubey,KUSHI NAGAR,Normal/Others,18-Feb-25,236234,236234,18-Feb-25,,16-Jan-26,Completed
WS/MP812/2025-2026/135446-Lighting of public spaces,Vijay Kumar Dubey,KUSHI NAGAR,Normal/Others,17-Oct-25,236315,236315,17-Oct-25,,10-Apr-26,Completed
WS/MP812/2024-2025/135447-Lighting of public spaces,Vijay Kumar Dubey,KUSHI NAGAR,Normal/Others,04-Mar-25,236234,236234,04-Mar-25,,08-Jan-26,Completed
WS/MP812/2024-2025/135449-Lighting of public spaces,Vijay Kumar Dubey,KUSHI NAGAR,Normal/Others,04-Mar-25,236234,236234,04-Mar-25,,08-Jan-26,Completed
WS/MP812/2024-2025/135450-Lighting of public spaces,Vijay Kumar Dubey,KUSHI NAGAR,Normal/Others,19-Mar-25,236234,236234,19-Mar-25,,08-Jan-26,Completed
WS/MP812/2024-2025/135451-Lighting of public spaces,Vijay Kumar Dubey,KUSHI NAGAR,Normal/Others,19-Mar-25,236234,236234,19-Mar-25,,08-Jan-26,Completed
"WS/MP431/2024-2025/135463-Construction of roads, link roads, pathways or any other road with or without drainage system",Rao Inderjit Singh,GURGAON,Normal/Others,29-Oct-24,1000000,1000000,29-Oct-24,,06-Feb-26,Completed
"WS/MP18336/2024-2025/135505-Construction of roads, link roads, pathways or any other road with or without drainage system",BRIJMOHAN AGRAWAL,RAIPUR,Normal/Others,20-Sep-24,1000000,1000000,20-Sep-24,,29-May-25,Completed
"WS/MP18336/2024-2025/135506-Construction of roads, link roads, pathways or any other road with or without drainage system",BRIJMOHAN AGRAWAL,RAIPUR,Normal/Others,20-Sep-24,1000000,1000000,20-Sep-24,,29-May-25,Completed
"WS/MP18336/2024-2025/135507-Construction of roads, link roads, pathways or any other road with or without drainage system",BRIJMOHAN AGRAWAL,RAIPUR,Normal/Others,20-Sep-24,1000000,1000000,20-Sep-24,,29-May-25,Completed
"WS/MP18336/2024-2025/135508-Construction of roads, link roads, pathways or any other road with or without drainage system",BRIJMOHAN AGRAWAL,RAIPUR,Normal/Others,20-Sep-24,1000000,1000000,20-Sep-24,,25-Sep-25,Completed
WS/MP826/2026-2027/135516-Construction of footpaths and pedestrian ways,Raju Bista,DARJEELING,Normal/Others,07-Jul-26,500000,,07-Jul-26,,,Sanction
WS/MP826/2024-2025/135520-Construction of community centers and community halls,Raju Bista,DARJEELING,Normal/Others,05-Mar-25,498069,498069,05-Mar-25,,04-Jul-25,Completed
WS/MP826/2024-2025/135523-Construction of community centers and community halls,Raju Bista,DARJEELING,Repair and Renovation,05-Mar-25,500000,,05-Mar-25,,,Physical Inspection
WS/MP826/2024-2025/135524-Providing drains and gutters for public drainage,Raju Bista,DARJEELING,Normal/Others,05-Mar-25,463899,463899,05-Mar-25,,04-Jul-25,Completed
WS/MP826/2024-2025/135525-Providing drains and gutters for public drainage,Raju Bista,DARJEELING,Normal/Others,05-Mar-25,457415,457415,05-Mar-25,,04-Jul-25,Completed
WS/MP826/2024-2025/135526-Construction of footpaths and pedestrian ways,Raju Bista,DARJEELING,Normal/Others,15-Jan-25,499918,,15-Jan-25,,,Vendor Identification
WS/MP826/2024-2025/135527-Construction of footpaths and pedestrian ways,Raju Bista,DARJEELING,Normal/Others,15-Jan-25,500000,,15-Jan-25,,,Sanction
