project_id,mp_name,district,work_type,sanction_date,sanction_amount,expenditure_to_date,start_date,expected_end_date,actual_end_date,status,months_elapsed,cost_overrun_ratio,delay_days,fund_utilization_speed,percent_spent,last_update_date,last_update_age,possible_unit_error
52813,RAKIBUL HUSSAIN,DHUBRI,Normal/Others,,1000000.0,0.0,,,,Vendor Identification,0.0,0.0,0,0.0,0.0,,9999,0
52814,Vijay Kumar Hansdak,RAJMAHAL(ST),Normal/Others,,201000.0,0.0,2026-03-11,2027-03-11,,Sanction,5.733333333333333,0.0,0,0.0,0.0,,9999,0
52815,RAKIBUL HUSSAIN,DHUBRI,Normal/Others,,300000.0,0.0,,,,Vendor Identification,0.0,0.0,0,0.0,0.0,,9999,0
52816,BHARATBHAI MANUBHAI SUTARIYA,AMRELI,Normal/Others,,1000000.0,0.0,,,,Sanction,0.0,0.0,0,0.0,0.0,,9999,0
52817,Vijay Kumar Hansdak,RAJMAHAL(ST),Normal/Others,,201000.0,0.0,2026-03-11,2027-03-11,,Sanction,5.733333333333333,0.0,0,0.0,0.0,,9999,0
52818,BHARATBHAI MANUBHAI SUTARIYA,AMRELI,Normal/Others,,300000.0,0.0,,,,Sanction,0.0,0.0,0,0.0,0.0,,9999,0
52819,RAKIBUL HUSSAIN,DHUBRI,Normal/Others,,500000.0,0.0,,,,Vendor Identification,0.0,0.0,0,0.0,0.0,,9999,0
5282,VINOD KUMAR BIND,BHADOHI,Normal/Others,,259942.0,118993.0,,,2026-01-08,Physical Inspection,0.0,0.4577675019812112,0,0.0,0.4577675019812112,,9999,0
52820,BHARATBHAI MANUBHAI SUTARIYA,AMRELI,Normal/Others,,300000.0,0.0,,,,Sanction,0.0,0.0,0,0.0,0.0,,9999,0
52821,Vijay Kumar Hansdak,RAJMAHAL(ST),Normal/Others,,201000.0,0.0,2026-08-04,2027-08-04,,Sanction,0.8666666666666667,0.0,0,0.0,0.0,,9999,0
52822,RAKIBUL HUSSAIN,DHUBRI,Normal/Others,,1000000.0,0.0,,,,Vendor Identification,0.0,0.0,0,0.0,0.0,,9999,0
52823,Vijay Kumar Hansdak,RAJMAHAL(ST),Normal/Others,,201000.0,0.0,2026-08-04,2027-08-04,,Sanction,0.8666666666666667,0.0,0,0.0,0.0,,9999,0
52824,Vijay Kumar Hansdak,RAJMAHAL(ST),Normal/Others,,201000.0,0.0,2026-03-11,2027-03-11,,Physical Inspection,5.733333333333333,0.0,0,0.0,0.0,,9999,0
52825,Vijay Kumar Hansdak,RAJMAHAL(ST),Normal/Others,,201000.0,0.0,2026-03-11,2027-03-11,,Sanction,5.733333333333333,0.0,0,0.0,0.0,,9999,0
52826,Vijay Kumar Hansdak,RAJMAHAL(ST),Normal/Others,,201000.0,0.0,2026-03-11,2027-03-11,,Sanction,5.733333333333333,0.0,0,0.0,0.0,,9999,0
52827,Vijay Kumar Hansdak,RAJMAHAL(ST),Normal/Others,,201000.0,0.0,2026-03-11,2027-03-11,,Physical Inspection,5.733333333333333,0.0,0,0.0,0.0,,9999,0
52828,Vijay Kumar Hansdak,RAJMAHAL(ST),Normal/Others,,201000.0,0.0,2026-03-11,2027-03-11,,Sanction,5.733333333333333,0.0,0,0.0,0.0,,9999,0
52829,SELJA,SIRSA(SC),Normal/Others,,175000.0,0.0,,,,Sanction,0.0,0.0,0,0.0,0.0,,9999,0
5283,VINOD KUMAR BIND,BHADOHI,Normal/Others,,259942.0,118993.0,,,2026-01-08,Physical Inspection,0.0,0.4577675019812112,0,0.0,0.4577675019812112,,9999,0
52830,SELJA,SIRSA(SC),Normal/Others,,175000.0,0.0,2025-12-02,2026-12-02,,Physical Inspection,9.033333333333333,0.0,0,0.0,0.0,,9999,0
52831,Vijay Kumar Hansdak,RAJMAHAL(ST),Normal/Others,,201000.0,0.0,2026-03-11,2027-03-11,,Sanction,5.733333333333333,0.0,0,0.0,0.0,,9999,0
52832,Vijay Kumar Hansdak,RAJMAHAL(ST),Normal/Others,,201000.0,0.0,2026-03-11,2027-03-11,,Sanction,5.733333333333333,0.0,0,0.0,0.0,,9999,0
52833,KALI CHARAN SINGH,CHATRA,Normal/Others,,100000.0,0.0,,,,Sanction,0.0,0.0,0,0.0,0.0,,9999,0
52834,SELJA,SIRSA(SC),Normal/Others,,279725.0,0.0,2025-11-04,2026-11-04,,Sanction,9.966666666666667,0.0,0,0.0,0.0,,9999,0
52835,Vijay Kumar Hansdak,RAJMAHAL(ST),Normal/Others,,201000.0,0.0,2026-03-11,2027-03-11,,Sanction,5.733333333333333,0.0,0,0.0,0.0,,9999,0
52836,KAMLESH JANGDE,JANJGIR CHAMPA(SC),Normal/Others,,2000000.0,0.0,,,,Physical Inspection,0.0,0.0,0,0.0,0.0,,9999,0
52837,KAMLESH JANGDE,JANJGIR CHAMPA(SC),Normal/Others,,1245584.0,0.0,,,,Physical Inspection,0.0,0.0,0,0.0,0.0,,9999,0
52838,Vijay Kumar Hansdak,RAJMAHAL(ST),Normal/Others,,201000.0,0.0,2026-03-11,2027-03-11,,Sanction,5.733333333333333,0.0,0,0.0,0.0,,9999,0
52839,KALI CHARAN SINGH,CHATRA,Normal/Others,,100000.0,0.0,,,,Sanction,0.0,0.0,0,0.0,0.0,,9999,0
