project_id,anomaly_score,is_flagged
NA-Setting up public non-conventional energy plants,0.08417882230294832,False
NA-Street lights,0.08417882230294832,False
"NA-Transport vehicles for inmates of govt instns such as orphanage, shelter/old-age/correctional homes",0.08417882230294832,False
NA-Tree plantation for community,0.08417882230294832,False
"WS/ MP005/2024-2025/145074-Construction of roads, link roads, pathways or any other road with or without drainage system",0.06973057891553663,False
"WS/ MP005/2024-2025/175217-Construction of roads, link roads, pathways or any other road with or without drainage system",0.0958139766254803,False
"WS/ MP005/2024-2025/175218-Construction of roads, link roads, pathways or any other road with or without drainage system",0.06321486023916406,False
"WS/ MP005/2024-2025/175230-Construction of roads, link roads, pathways or any other road with or without drainage system",0.042543387708256386,False
"WS/ MP005/2024-2025/175232-Construction of roads, link roads, pathways or any other road with or without drainage system",0.028669955492098775,False
"WS/ MP005/2024-2025/175233-Construction of roads, link roads, pathways or any other road with or without drainage system",0.1009275929890262,False
"WS/ MP005/2024-2025/175247-Construction of roads, link roads, pathways or any other road with or without drainage system",0.05689275127610249,False
"WS/ MP005/2024-2025/175248-Construction of roads, link roads, pathways or any other road with or without drainage system",0.05689275127610249,False
"WS/ MP005/2024-2025/175249-Construction of roads, link roads, pathways or any other road with or without drainage system",0.07095645319480337,False
"WS/ MP005/2024-2025/175250-Construction of roads, link roads, pathways or any other road with or without drainage system",0.08432465601340822,False
"WS/ MP005/2024-2025/175251-Construction of roads, link roads, pathways or any other road with or without drainage system",0.05678195543533138,False
"WS/ MP005/2024-2025/175254-Construction of roads, link roads, pathways or any other road with or without drainage system",0.09592028927770185,False
"WS/ MP005/2024-2025/175259-Construction of roads, link roads, pathways or any other road with or without drainage system",0.08417882230294832,False
"WS/ MP005/2024-2025/175771-Construction of roads, link roads, pathways or any other road with or without drainage system",0.09592028927770185,False
"WS/ MP005/2025-2026/164299-Construction of roads, link roads, pathways or any other road with or without drainage system",0.09648736433361743,False
WS/ MP005/2025-2026/164300-Construction of community centers and community halls,0.08417882230294832,False
"WS/ MP005/2025-2026/164331-Construction of roads, link roads, pathways or any other road with or without drainage system",0.08417882230294832,False
WS/ MP005/2025-2026/164333-Installing hand pumps,0.08417882230294832,False
"WS/ MP005/2025-2026/164754-Construction of roads, link roads, pathways or any other road with or without drainage system",0.09606456428642751,False
WS/ MP005/2025-2026/164756-Installing community drinking water plants,0.08417882230294832,False
"WS/ MP005/2025-2026/164759-Construction of roads, link roads, pathways or any other road with or without drainage system",0.10478755797349293,False
"WS/ MP005/2025-2026/164760-Construction of roads, link roads, pathways or any other road with or without drainage system",0.08568981427198508,False
